UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
492139,NA,NA,NA,NA,NA,NA,30,latest
492157,NA,NA,NA,NA,NA,9500,94,latest
492209,NA,NA,NA,NA,NA,NA,NA,latest
492281,NA,NA,NA,NA,NA,NA,NA,latest
492306,NA,NA,NA,NA,NA,NA,NA,latest
492315,NA,NA,NA,NA,NA,NA,NA,latest
492324,NA,NA,NA,NA,NA,NA,NA,latest
492360,NA,NA,15065,17046,18121,6333,240,latest
492379,NA,NA,NA,NA,NA,4384,27,latest
492421,NA,NA,NA,NA,NA,9500,81,latest
492449,27800,25400,32155,32394,32331,9500,7803,latest
492476,20700,18500,20034,19807,20441,10500,1794,latest
492607,NA,NA,45622,50108,56210,9500,370,latest
492643,NA,NA,NA,NA,NA,7389,94,latest
492652,NA,NA,NA,NA,NA,NA,NA,latest
492661,NA,NA,NA,NA,NA,6333,233,latest
492689,NA,NA,NA,NA,NA,12500,153,latest
492704,NA,NA,NA,NA,NA,NA,NA,latest
492722,28200,23500,26535,27790,29507,9499,5275,latest
492731,NA,NA,NA,NA,NA,6333,216,latest
492759,46100,56000,69991,72402,73817,16577,9581,latest
492801,29800,26300,30803,31414,33806,12500,649,latest
492935,NA,NA,NA,NA,NA,NA,127,latest
492953,NA,21400,20172,23586,25270,7013,281,latest
492962,38700,28000,27719,34092,39034,13392,3078,latest
493071,NA,NA,NA,23213,23016,NA,NA,latest
