UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
484163,NA,NA,NA,NA,NA,8444,147,latest
484172,NA,NA,NA,NA,NA,5970,80,latest
484190,NA,NA,NA,NA,NA,NA,NA,latest
484206,NA,NA,NA,NA,NA,6333,113,latest
484233,NA,NA,NA,NA,NA,NA,NA,latest
484330,23600,21300,24985,26740,26901,9500,760,latest
484349,25500,23500,27356,28819,32928,9500,698,latest
484358,25500,23500,27356,28819,32928,9500,698,latest
484367,28100,24500,31753,32680,31541,9500,1496,latest
484376,28100,24500,31753,32680,31541,9500,1496,latest
484394,NA,NA,25517,15922,NA,8536,153,latest
484473,63400,47300,53035,58822,65626,13000,2665,latest
484604,25400,19200,20798,23599,21900,7917,960,latest
484613,39900,24300,26774,28059,31287,15000,53841,latest
484631,39900,24300,26774,28059,31287,15000,53841,latest
484710,39900,24300,26774,28059,31287,15000,53841,latest
484756,39900,24300,26774,28059,31287,15000,53841,latest
484835,22300,18400,17179,18659,19649,3668,265,latest
484844,NA,NA,NA,NA,NA,NA,NA,latest
484862,NA,NA,NA,NA,NA,NA,NA,latest
484871,NA,NA,NA,NA,NA,NA,NA,latest
484899,NA,NA,NA,NA,NA,6333,240,latest
484905,NA,NA,NA,NA,NA,12500,704,latest
484923,NA,NA,NA,NA,NA,6333,33,latest
484932,NA,24500,28474,29387,33488,4000,372,latest
484950,NA,17900,19838,20386,20222,6333,473,latest
484996,21100,18000,16119,16787,17507,NA,NA,latest
485014,17600,15400,18449,20211,20194,6222,1304,latest
485032,NA,NA,21761,23044,NA,9500,353,latest
485111,33100,24700,27132,31558,34248,5500,2472,latest
485139,34400,30200,24726,30868,37523,9500,1480,latest
485166,21100,NA,21505,24578,26962,8769,54,latest
485236,NA,NA,NA,NA,NA,5481,80,latest
485272,NA,67100,84796,88684,95932,26500,4379,latest
485306,NA,NA,18213,14165,NA,NA,39,latest
485342,NA,NA,NA,NA,NA,NA,NA,latest
485360,NA,NA,NA,NA,NA,NA,NA,latest
485379,NA,NA,16792,16296,NA,6105,1113,latest
485388,NA,NA,16792,16296,NA,6105,1113,latest
485397,21300,16700,19868,20094,21154,7667,1289,latest
485403,NA,NA,NA,NA,NA,NA,NA,latest
485412,NA,NA,20236,16742,20932,2065,106,latest
485458,25100,22200,25338,26150,26133,NA,NA,latest
485476,NA,NA,NA,NA,NA,7917,87,latest
485485,NA,NA,NA,NA,NA,7333,145,latest
485494,NA,NA,NA,NA,NA,NA,56,latest
485500,NA,NA,NA,NA,NA,NA,NA,latest
485519,NA,NA,NA,NA,NA,6334,117,latest
485546,NA,NA,NA,NA,NA,7082,90,latest
485564,NA,NA,NA,NA,NA,NA,124,latest
485573,NA,NA,NA,NA,NA,NA,NA,latest
485591,NA,NA,NA,NA,NA,NA,NA,latest
485607,NA,NA,NA,NA,NA,NA,NA,latest
485698,NA,NA,NA,NA,NA,NA,14,latest
485704,NA,NA,NA,NA,NA,NA,NA,latest
485768,NA,NA,NA,NA,NA,14640,48,latest
485801,NA,NA,NA,NA,NA,4171,100,latest
485856,NA,NA,NA,NA,NA,NA,NA,latest
485874,NA,NA,NA,NA,NA,7316,124,latest
